,address_type,agency,agency_name,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
1816,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-07T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-06T00:00:00.000,,,Pothole,,N/A,,,220 STREET,NORTHERN BOULEVARD,,QUEENS,Unspecified,2009-04-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13528832
1817,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-07T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-06T00:00:00.000,,,Pothole,,N/A,,,FRANCIS LEWIS BLVD,42 AVE,,QUEENS,Unspecified,2009-04-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13528833
1818,BLOCKFACE,DOT,Department of Transportation,Unspecified,STATEN ISLAND,2009-04-29T00:00:00.000,0 Unspecified,Street Condition,2009-04-09T00:00:00.000,DEAD END,HYLAN BOULEVARD,Pothole,,N/A, CUNNINGHAM ROAD,,,,,Unspecified,Unspecified,2009-04-29T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,CUNNINGHAM ROAD,13536282
1819,BLOCKFACE,DOT,Department of Transportation,Unspecified,STATEN ISLAND,2009-04-09T00:00:00.000,0 Unspecified,Street Condition,2009-04-08T00:00:00.000,CENTER STREET,RICHMOND ROAD,Pothole,,N/A, ST PATRICK'S PLACE,,,,,Unspecified,Unspecified,2009-04-09T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ST PATRICK'S PLACE,13536286
1820,BLOCKFACE,DOT,Department of Transportation,Unspecified,STATEN ISLAND,2009-04-30T00:00:00.000,0 Unspecified,Street Condition,2009-04-13T00:00:00.000,VETERANS ROAD WEST,WESTFIELD AVENUE,Pothole,,N/A, BLOOMINGDALE ROAD,,,,,Unspecified,Unspecified,2009-04-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,BLOOMINGDALE ROAD,13557905
1821,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,2009-04-09T00:00:00.000,Unspecified MANHATTAN,Street Condition,2009-04-09T00:00:00.000,EAST   34 STREET,EAST   35 STREET,Pothole,,N/A, F D R DRIVE,,,,,MANHATTAN,Unspecified,2009-04-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,F D R DRIVE,13536062
1822,BLOCKFACE,DOT,Department of Transportation,Unspecified,BROOKLYN,2009-04-10T00:00:00.000,0 Unspecified,Street Condition,2009-04-09T00:00:00.000,2 AVENUE,15 STREET,Pothole,,N/A, HAMILTON AVENUE,,,,,Unspecified,Unspecified,2009-04-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,HAMILTON AVENUE,13542144
1823,INTERSECTION,DOT,Department of Transportation,BRONX,,2009-04-18T00:00:00.000,Unspecified BRONX,Street Condition,2009-04-08T00:00:00.000,,,Pothole,,N/A,,,BRUCKNER BOULEVARD,FTELEY AVENUE,,BRONX,Unspecified,2009-04-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13535283
1824,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-22T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-07T00:00:00.000,,,Pothole,,N/A,,,EFFINGTON AVENUE,FRESH MEADOW LANE,,QUEENS,Unspecified,2009-04-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13528768
1825,,DOT,Department of Transportation,BROOKLYN,,2009-04-17T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-04-10T00:00:00.000,CHURCH AVENUE,CATON AVENUE,Failed Street Repair,2009-04-20T00:00:00.000,N/A, OCEAN PARKWAY,,,,Street,BROOKLYN,Unspecified,2009-04-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,OCEAN PARKWAY,13537435
1826,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2009-04-17T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2009-04-08T00:00:00.000,,,Pothole,,N/A,,,MORNINGSTAR ROAD,RICHMOND AVENUE,,STATEN ISLAND,Unspecified,2009-04-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13528910
1827,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,2009-04-06T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-04-05T00:00:00.000,BUFFALO AVENUE,LONG ISLAND RR,Pothole,,N/A, ATLANTIC AVENUE,,,,,BROOKLYN,Unspecified,2009-04-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ATLANTIC AVENUE,13536306
1828,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2009-04-07T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-06T00:00:00.000,213 STREET,BEND,Pothole,,N/A, 42 AVENUE,,,,,QUEENS,Unspecified,2009-04-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,42 AVENUE,13527821
1829,INTERSECTION,DOT,Department of Transportation,BRONX,,2009-04-09T00:00:00.000,Unspecified BRONX,Street Condition,2009-04-09T00:00:00.000,,,Pothole,,N/A,,,METROPOLITAN AVENUE,METROPOLITAN OVAL,,BRONX,Unspecified,2009-04-09T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13541414
1830,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,2009-04-10T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-04-09T00:00:00.000,CARLTON AVE,ADELPHI ST,Pothole,,N/A, PARK AVE,,,,,BROOKLYN,Unspecified,2009-04-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,PARK AVE,13542143
1831,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-14T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-12T00:00:00.000,,,Pothole,,N/A,,,QUEENS PLAZA NORTH,CRESCENT STREET,,QUEENS,Unspecified,2009-04-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13549607
1832,,DOT,Department of Transportation,BROOKLYN,,2009-04-14T00:00:00.000,Unspecified BROOKLYN,Street Condition,2009-04-12T00:00:00.000,,,Failed Street Repair,2009-04-22T00:00:00.000,N/A,,,OCEAN PARKWAY,DIRTMAS AVE,Street,BROOKLYN,Unspecified,2009-04-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13547827
1833,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-14T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-12T00:00:00.000,,,Pothole,,N/A,,,NORTHERN BOULEVARD,WOODSIDE AVENUE,,QUEENS,Unspecified,2009-04-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13549612
1834,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2009-04-23T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2009-04-12T00:00:00.000,,,Pothole,,N/A,,,DEWEY AVENUE,GREAVES AVENUE,,STATEN ISLAND,Unspecified,2009-04-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13549618
1835,BLOCKFACE,DOT,Department of Transportation,BRONX,,2009-04-25T00:00:00.000,Unspecified BRONX,Street Condition,2009-04-10T00:00:00.000,WHITE PLAINS ROAD,WILLIAMSBRIDGE ROAD,Pothole,,N/A, PELHAM PARKWAY,,,,,BRONX,Unspecified,2009-04-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,PELHAM PARKWAY,13542190
1836,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2009-05-06T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2009-04-10T00:00:00.000,,,Pothole,,N/A,,,RENSSELAER AVENUE,VERNON AVENUE,,STATEN ISLAND,Unspecified,2009-05-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13541261
1837,,DOT,Department of Transportation,QUEENS,,2009-04-16T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-13T00:00:00.000,,,"Rough, Pitted or Cracked Roads",2009-07-12T00:00:00.000,N/A,,,LIBERTY AVENUE,VAN WYCK EXPRESSWAY,Street,QUEENS,Unspecified,2009-04-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13551638
1838,,DOT,Department of Transportation,QUEENS,,2009-04-27T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-13T00:00:00.000,,,"Rough, Pitted or Cracked Roads",2009-07-12T00:00:00.000,N/A,,,LIBERTY AVENUE,VANWYCK EXP,Street,QUEENS,Unspecified,2009-04-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13551639
1839,INTERSECTION,DOT,Department of Transportation,QUEENS,,2009-04-16T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-15T00:00:00.000,,,Pothole,,N/A,,,41 AVENUE,QUEENS PLAZA NORTH,,QUEENS,Unspecified,2009-04-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,13571861
1840,ADDRESS,DOT,Department of Transportation,QUEENS,,2009-04-09T00:00:00.000,Unspecified QUEENS,Street Condition,2009-04-08T00:00:00.000,225 STREET,,Pothole,,N/A,225-21 CITY LIMIT,,,,,QUEENS,Unspecified,2009-04-09T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,CITY LIMIT,13545451
