,address_type,agency,agency_name,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
4469,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2007-10-16T00:00:00.000,Unspecified BROOKLYN,Street Condition,2007-09-22T00:00:00.000,,,Pothole,,N/A,,,48 STREET,3 AVENUE,,,BROOKLYN,Unspecified,2007-10-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,9437072
4470,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2007-12-10T00:00:00.000,Unspecified MANHATTAN,Street Condition,2007-09-22T00:00:00.000,,,Pothole,,N/A,,,FRANKFORT STREET,ROSE STREET,,,MANHATTAN,Unspecified,2007-12-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,9437073
4471,BLOCKFACE,DOT,Department of Transportation,Unspecified,STATEN ISLAND,2007-10-04T00:00:00.000,0 Unspecified,Street Condition,2007-09-25T00:00:00.000,BEND,OSGOOD AVENUE,Pothole,,N/A, MOSEL AVENUE,,,,,,Unspecified,Unspecified,2007-10-04T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,MOSEL AVENUE,9464242
4472,,DOT,Department of Transportation,STATEN ISLAND,,2007-10-02T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2007-09-28T00:00:00.000,ROBIN AVE,MCCLEAN AVE,Failed Street Repair,2007-12-27T00:00:00.000,N/A, ARTHUR AVE,,,,,Street,STATEN ISLAND,Unspecified,2007-10-02T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ARTHUR AVE,9473414
4473,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,BROOKLYN,2007-09-21T00:00:00.000,07 BROOKLYN,Street Condition,2007-09-20T00:00:00.000,3 AVENUE,SHORE PARKWAY,Pothole,,N/A, 65 STREET,11220,,,,,BROOKLYN,Unspecified,2007-09-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,65 STREET,9449358
4474,BLOCKFACE,DOT,Department of Transportation,Unspecified,QUEENS,2007-09-25T00:00:00.000,0 Unspecified,Street Condition,2007-09-24T00:00:00.000,83 AVENUE,GRENFELL STREET,Pothole,,N/A, AUDLEY STREET,,,,,,Unspecified,Unspecified,2007-09-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,AUDLEY STREET,9464654
4475,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,2007-10-05T00:00:00.000,Unspecified BROOKLYN,Street Condition,2007-09-26T00:00:00.000,DEAD END,DEAD END,Pothole,,N/A, DOUGLASS STREET,,,,,,BROOKLYN,Unspecified,2007-10-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,DOUGLASS STREET,9464642
4476,BLOCKFACE,DOT,Department of Transportation,Unspecified,BROOKLYN,2007-09-24T00:00:00.000,0 Unspecified,Street Condition,2007-09-23T00:00:00.000,AVENUE K EXTENSION,AVENUE L,Pothole,,N/A, BERGEN AVENUE,,,,,,Unspecified,Unspecified,2007-09-24T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,BERGEN AVENUE,9464638
4477,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2007-10-17T00:00:00.000,Unspecified QUEENS,Street Condition,2007-09-26T00:00:00.000,BEND,ROCKAWAY BOULEVARD,Pothole,,N/A, BROOKVILLE BOULEVARD,,,,,,QUEENS,Unspecified,2007-10-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,BROOKVILLE BOULEVARD,9464650
4478,BLOCKFACE,DOT,Department of Transportation,BRONX,BRONX,2007-10-10T00:00:00.000,04 BRONX,Street Condition,2007-09-26T00:00:00.000,GRAND CONCOURSE,SHERIDAN AVENUE,Pothole,,N/A, MARCY PLACE,10456,,,,,BRONX,Unspecified,2007-10-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,MARCY PLACE,9464657
