,address_type,agency,agency_name,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
0,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,NEW YORK,2008-01-14T00:00:00.000,08 MANHATTAN,Street Condition,2008-01-13T00:00:00.000,EAST 59 STREET,EAST 60 STREET,Pothole,,N/A, 2 AVENUE,10022.0,,,,,MANHATTAN,Unspecified,2008-01-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,2 AVENUE,10283890
1,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-01-24T00:00:00.000,Unspecified QUEENS,Street Condition,2008-01-14T00:00:00.000,,,Pothole,,N/A,,,63 ROAD,POWER ROAD,,,QUEENS,Unspecified,2008-01-24T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10283921
2,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-01-11T00:00:00.000,Unspecified QUEENS,Street Condition,2008-01-10T00:00:00.000,,,Pothole,,N/A,,,164 STREET,HILLSIDE AVENUE,,,QUEENS,Unspecified,2008-01-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10259429
3,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-01-10T00:00:00.000,Unspecified QUEENS,Street Condition,2008-01-09T00:00:00.000,,,Pothole,,N/A,,,43 STREET,ASTORIA BOULEVARD,,,QUEENS,Unspecified,2008-01-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10271636
4,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-09-15T00:00:00.000,Unspecified BRONX,Street Condition,2008-09-08T00:00:00.000,,,Pothole,,N/A,,,DYRE AVENUE,LIGHT STREET,,,BRONX,Unspecified,2008-09-15T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12003688
5,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-09-08T00:00:00.000,Unspecified QUEENS,Street Condition,2008-09-07T00:00:00.000,,,Pothole,,N/A,,,2 AVENUE,6 AVENUE,,,QUEENS,Unspecified,2008-09-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12003263
6,,DOT,Department of Transportation,BRONX,,2008-09-23T00:00:00.000,Unspecified BRONX,Street Condition,2008-09-15T00:00:00.000,,,Line/Marking - Faded,2008-10-15T00:00:00.000,N/A,,,HENRY HUDSON PARKWAY,WEST 252 STREET,,Street,BRONX,Unspecified,2008-09-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12041122
7,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-01-22T00:00:00.000,Unspecified BRONX,Street Condition,2008-01-22T00:00:00.000,,,Pothole,,N/A,,,HOLLAND AVENUE,PELHAM PARKWAY,,,BRONX,Unspecified,2008-01-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10357762
8,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2008-01-23T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2008-01-22T00:00:00.000,,,Pothole,,N/A,,,INNIS STREET,NICHOLAS AVENUE,,,STATEN ISLAND,Unspecified,2008-01-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10357742
9,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-01-24T00:00:00.000,Unspecified QUEENS,Street Condition,2008-01-23T00:00:00.000,,,Pothole,,N/A,,,BEACH 169 STREET,BEACH CHANNEL DRIVE,,,QUEENS,Unspecified,2008-01-24T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10373970
