,address_type,agency,agency_name,borough,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,due_date,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
10,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2008-01-31T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2008-01-30T00:00:00.000,,,Pothole,,N/A,,,ARBUTUS AVENUE,JARVIS AVENUE,,,STATEN ISLAND,Unspecified,2008-01-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10410052
11,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2008-09-30T00:00:00.000,Unspecified BROOKLYN,Street Condition,2008-09-25T00:00:00.000,,,Pothole,,N/A,,,52 STREET,3 AVENUE,,,BROOKLYN,Unspecified,2008-09-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12123077
12,,DOT,Department of Transportation,QUEENS,,2008-10-01T00:00:00.000,Unspecified QUEENS,Street Condition,2008-10-01T00:00:00.000,,,Failed Street Repair,2008-10-11T00:00:00.000,N/A,,,28 AVE,31ST,,Street,QUEENS,Unspecified,2008-10-01T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12149666
13,BLOCKFACE,DOT,Department of Transportation,STATEN ISLAND,,2008-10-09T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2008-10-08T00:00:00.000,BEND,BEND,Pothole,,N/A, FRONT STREET,,,,,,STATEN ISLAND,Unspecified,2008-10-09T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,FRONT STREET,12205819
14,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-02-06T00:00:00.000,Unspecified BRONX,Street Condition,2008-02-06T00:00:00.000,,,Pothole,,N/A,,,BRUCKNER BOULEVARD,WILKINSON AVENUE,,,BRONX,Unspecified,2008-02-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10472844
15,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2008-02-07T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2008-02-06T00:00:00.000,,,Pothole,,N/A,,,NIXON AVENUE,WARD AVENUE,,,STATEN ISLAND,Unspecified,2008-02-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10473000
16,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2008-10-14T00:00:00.000,Unspecified MANHATTAN,Street Condition,2008-10-10T00:00:00.000,,,Pothole,,N/A,,,FULTON STREET,GOLD STREET,,,MANHATTAN,Unspecified,2008-10-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12232457
17,INTERSECTION,DOT,Department of Transportation,QUEENS,,,Unspecified QUEENS,Street Condition,2008-10-15T00:00:00.000,,,Wear & Tear,,N/A,,,QUEENS BLVD,70 RD,,,QUEENS,Unspecified,2008-10-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,12239803
18,BLOCKFACE,DOT,Department of Transportation,BRONX,,2008-02-19T00:00:00.000,Unspecified BRONX,Street Condition,2008-02-12T00:00:00.000,BOSTON ROAD,WHITE PLAINS ROAD,Pothole,,N/A, PELHAM PARKWAY,,,,,,BRONX,Unspecified,2008-02-19T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,PELHAM PARKWAY,10511549
19,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-02-15T00:00:00.000,Unspecified BRONX,Street Condition,2008-02-12T00:00:00.000,,,Pothole,,N/A,,,BRUCKNER BOULEVARD,EVERGREEN AVENUE,,,BRONX,Unspecified,2008-02-15T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10519073
20,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-02-14T00:00:00.000,Unspecified QUEENS,Street Condition,2008-02-13T00:00:00.000,,,Pothole,,N/A,,,BEACH 102 STREET,ROCKAWAY BEACH BOULEVARD,,,QUEENS,Unspecified,2008-02-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10533273
21,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-02-20T00:00:00.000,Unspecified BRONX,Street Condition,2008-02-18T00:00:00.000,,,Pothole,,N/A,,,BRUCKNER BOULEVARD,ZEREGA AVENUE,,,BRONX,Unspecified,2008-02-20T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10544322
22,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-02-15T00:00:00.000,Unspecified QUEENS,Street Condition,2008-02-14T00:00:00.000,,,Pothole,,N/A,,,MYRTLE AVENUE,UNION TURNPIKE,,,QUEENS,Unspecified,2008-02-15T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10533196
23,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-02-21T00:00:00.000,Unspecified BRONX,Street Condition,2008-02-21T00:00:00.000,,,Pothole,,N/A,,,CROSS BRONX EXPRESSWAY,POWELL AVENUE,,,BRONX,Unspecified,2008-02-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10573534
24,,DOT,Department of Transportation,STATEN ISLAND,,2008-10-17T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2008-10-17T00:00:00.000,,,Unsafe Worksite,2008-10-20T00:00:00.000,N/A,,,BELFIELD AVE,JEFFERSON BLVD,,Street,STATEN ISLAND,Unspecified,2008-10-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12249278
25,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2008-11-03T00:00:00.000,Unspecified BROOKLYN,Street Condition,2008-10-16T00:00:00.000,,,Pothole,,N/A,,,HICKS STREET,WARREN STREET,,,BROOKLYN,Unspecified,2008-11-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,12252708
26,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-02-28T00:00:00.000,Unspecified QUEENS,Street Condition,2008-02-21T00:00:00.000,,,Pothole,,N/A,,,113 AVENUE,212 STREET,,,QUEENS,Unspecified,2008-02-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10573302
27,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,2008-02-21T00:00:00.000,Unspecified MANHATTAN,Street Condition,2008-02-20T00:00:00.000,5 AVENUE,CENTRAL PARK WEST,Pothole,,N/A, 79 ST TRANSVERSE,,,,,,MANHATTAN,Unspecified,2008-02-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,79 ST TRANSVERSE,10570419
28,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-02-26T00:00:00.000,Unspecified QUEENS,Street Condition,2008-02-21T00:00:00.000,,,Pothole,,N/A,,,62 AVENUE,GRAND CENTRL PARKWAY,,,QUEENS,Unspecified,2008-02-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10570086
29,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-02-21T00:00:00.000,Unspecified QUEENS,Street Condition,2008-02-20T00:00:00.000,,,Pothole,,N/A,,,BEACH 169 STREET,BEACH CHANNEL DRIVE,,,QUEENS,Unspecified,2008-02-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10573366
30,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-02-21T00:00:00.000,Unspecified QUEENS,Street Condition,2008-02-20T00:00:00.000,,,Pothole,,N/A,,,58 STREET,MASPETH AVENUE,,,QUEENS,Unspecified,2008-02-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10573383
31,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-02-21T00:00:00.000,Unspecified QUEENS,Street Condition,2008-02-20T00:00:00.000,,,Pothole,,N/A,,,67 AVENUE,BELL BOULEVARD,,,QUEENS,Unspecified,2008-02-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10573451
32,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-02-21T00:00:00.000,Unspecified BRONX,Street Condition,2008-02-21T00:00:00.000,,,Pothole,,N/A,,,ORCHARD BEACH ROAD,PELHAM SHORE ROAD,,,BRONX,Unspecified,2008-02-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10573598
33,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-02-25T00:00:00.000,Unspecified QUEENS,Street Condition,2008-02-24T00:00:00.000,,,Pothole,,N/A,,,39 AVENUE,FRANCIS LEWIS BOULEVARD,,,QUEENS,Unspecified,2008-02-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10599773
34,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-03-04T00:00:00.000,Unspecified QUEENS,Street Condition,2008-02-26T00:00:00.000,,,Pothole,,N/A,,,41 AVENUE,MAIN STREET,,,QUEENS,Unspecified,2008-03-04T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10607846
35,BLOCKFACE,DOT,Department of Transportation,BRONX,,2008-03-03T00:00:00.000,Unspecified BRONX,Street Condition,2008-02-29T00:00:00.000,EASTCHESTER ROAD,WILLIAMSBRIDGE ROAD,Pothole,,N/A, PELHAM PARKWAY,,,,,,BRONX,Unspecified,2008-03-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,PELHAM PARKWAY,10620832
36,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2008-03-11T00:00:00.000,Unspecified BROOKLYN,Street Condition,2008-03-05T00:00:00.000,,,Pothole,,N/A,,,OLD FULTON STREET,BRIDGE STREET,,,BROOKLYN,Unspecified,2008-03-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10665217
37,,DOT,Department of Transportation,BRONX,,2008-03-12T00:00:00.000,Unspecified BRONX,Street Condition,2008-03-05T00:00:00.000,,,Failed Street Repair,2008-03-15T00:00:00.000,N/A,,,EAST BURN AVE,CROSS BRONX EXPRESSWAY,,Street,BRONX,Unspecified,2008-03-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10650097
38,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-03-06T00:00:00.000,Unspecified BRONX,Street Condition,2008-03-06T00:00:00.000,,,Pothole,,N/A,,,BRUCKNER BOULEVARD,ZEREGA AVENUE,,,BRONX,Unspecified,2008-03-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10669459
39,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-03-05T00:00:00.000,Unspecified BRONX,Street Condition,2008-03-05T00:00:00.000,,,Pothole,,N/A,,,WHITE PLAINS RD,E 216 ST,,,BRONX,Unspecified,2008-03-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10665494
40,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2008-03-15T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2008-03-08T00:00:00.000,,,Pothole,,N/A,,,DEAD END,DEAD END,,,STATEN ISLAND,Unspecified,2008-03-15T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10680430
41,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-03-14T00:00:00.000,Unspecified BRONX,Street Condition,2008-03-12T00:00:00.000,,,Pothole,,N/A,,,BRUCKNER BOULEVARD,WILKINSON AVENUE,,,BRONX,Unspecified,2008-03-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10715410
42,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2008-03-16T00:00:00.000,Unspecified MANHATTAN,Street Condition,2008-03-13T00:00:00.000,,,Pothole,,N/A,,,RIVERSIDE DRIVE,WEST 142 STREET,,,MANHATTAN,Unspecified,2008-03-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10719195
43,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-03-14T00:00:00.000,Unspecified QUEENS,Street Condition,2008-03-13T00:00:00.000,,,Pothole,,N/A,,,82 ROAD,KEW GARDENS ROAD,,,QUEENS,Unspecified,2008-03-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10734947
44,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2008-03-21T00:00:00.000,Unspecified BROOKLYN,Street Condition,2008-03-16T00:00:00.000,,,Pothole,,N/A,,,7 AVENUE,BAY RIDGE PARKWAY,,,BROOKLYN,Unspecified,2008-03-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10731751
45,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-04-11T00:00:00.000,Unspecified BRONX,Street Condition,2008-03-26T00:00:00.000,,,Pothole,,N/A,,,BRUCKNER BOULEVARD,HUNTS POINT AVENUE,,,BRONX,Unspecified,2008-04-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10801683
46,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2008-04-01T00:00:00.000,Unspecified BROOKLYN,Street Condition,2008-03-28T00:00:00.000,,,Pothole,,N/A,,,COURT STREET,HAMILTON AVENUE,,,BROOKLYN,Unspecified,2008-04-01T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10826725
47,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-03-29T00:00:00.000,Unspecified QUEENS,Street Condition,2008-03-28T00:00:00.000,,,Pothole,,N/A,,,41 STREET,ASTORIA BOULEVARD,,,QUEENS,Unspecified,2008-03-29T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10833700
48,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2008-04-10T00:00:00.000,Unspecified BROOKLYN,Street Condition,2008-03-28T00:00:00.000,,,Pothole,,N/A,,,WILLIAMSBURG PLACE,KENT AVENUE,,,BROOKLYN,Unspecified,2008-04-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10822352
49,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,2008-03-28T00:00:00.000,Unspecified BROOKLYN,Street Condition,2008-03-26T00:00:00.000,,,Pothole,,N/A,,,SHORE PARKWAY,ROCKAWAY PARKWAY,,,BROOKLYN,Unspecified,2008-03-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10816660
50,BLOCKFACE,DOT,Department of Transportation,Unspecified,QUEENS,2008-04-03T00:00:00.000,0 Unspecified,Street Condition,2008-04-02T00:00:00.000,49 AVENUE,JACKSON AVENUE,Pothole,,N/A, 11 STREET,,,,,,Unspecified,Unspecified,2008-04-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,11 STREET,10863866
51,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2008-04-08T00:00:00.000,Unspecified QUEENS,Street Condition,2008-04-01T00:00:00.000,DEAD END,DEAD END,Pothole,,N/A, 74 STREET,,,,,,QUEENS,Unspecified,2008-04-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,74 STREET,10841760
52,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2008-04-03T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2008-04-02T00:00:00.000,,,Pothole,,N/A,,,TRANTOR PLACE,WALKER STREET,,,STATEN ISLAND,Unspecified,2008-04-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10856461
53,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,2008-04-03T00:00:00.000,Unspecified MANHATTAN,Street Condition,2008-04-02T00:00:00.000,,,Pothole,,N/A,,,AMSTERDAM AVENUE,WEST 167 STREET,,,MANHATTAN,Unspecified,2008-04-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10856230
54,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,2008-04-09T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2008-04-08T00:00:00.000,,,Pothole,,N/A,,,SPRAGUE AVENUE,NANCY LANE,,,STATEN ISLAND,Unspecified,2008-04-09T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10896549
55,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-04-11T00:00:00.000,Unspecified QUEENS,Street Condition,2008-04-08T00:00:00.000,,,Pothole,,N/A,,,134 STREET,135 AVENUE,,,QUEENS,Unspecified,2008-04-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10888480
56,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-04-10T00:00:00.000,Unspecified QUEENS,Street Condition,2008-04-09T00:00:00.000,,,Pothole,,N/A,,,COOPER AVENUE,ST FELIX AVENUE,,,QUEENS,Unspecified,2008-04-10T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10903151
57,,DOT,Department of Transportation,BROOKLYN,,2008-04-11T00:00:00.000,Unspecified BROOKLYN,Street Condition,2008-04-10T00:00:00.000,BERGEN STREET,ST JOHNS PLACE,"Rough, Pitted or Cracked Roads",2008-07-09T00:00:00.000,N/A, RALPH AVENUE,,,,,Street,BROOKLYN,Unspecified,2008-04-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,RALPH AVENUE,10899131
58,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-04-25T00:00:00.000,Unspecified BRONX,Street Condition,2008-04-09T00:00:00.000,,,Pothole,,N/A,,,BRUCKNER BOULEVARD,EAST 149 STREET,,,BRONX,Unspecified,2008-04-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10895409
59,ADDRESS,DOT,Department of Transportation,BRONX,,2008-04-25T00:00:00.000,Unspecified BRONX,Street Condition,2008-04-08T00:00:00.000,WHITE PLAINS RD,CRUGER AVE,Pothole,,N/A,727 PELHAM PKWY S,,,,,,BRONX,Unspecified,2008-04-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,PELHAM PKWY S,10894056
60,,DOT,Department of Transportation,BRONX,,2008-04-29T00:00:00.000,Unspecified BRONX,Street Condition,2008-04-15T00:00:00.000,,,Failed Street Repair,2008-04-25T00:00:00.000,N/A,,,E 149 ST,BRUCKNER BLVD,,Street,BRONX,Unspecified,2008-04-29T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10931384
61,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-04-19T00:00:00.000,Unspecified QUEENS,Street Condition,2008-04-16T00:00:00.000,,,Pothole,,N/A,,,JACKSON AVENUE,PULASKI BRIDGE,,,QUEENS,Unspecified,2008-04-19T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10944729
62,INTERSECTION,DOT,Department of Transportation,QUEENS,,2008-04-19T00:00:00.000,Unspecified QUEENS,Street Condition,2008-04-16T00:00:00.000,,,Pothole,,N/A,,,GREENPOINT AVENUE,RAILROAD AVENUE,,,QUEENS,Unspecified,2008-04-19T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10944731
63,BLOCKFACE,DOT,Department of Transportation,QUEENS,,2008-04-18T00:00:00.000,Unspecified QUEENS,Street Condition,2008-04-15T00:00:00.000,91 AVENUE,ATLANTIC AVENUE,Pothole,,N/A, WOODHAVEN BOULEVARD,,,,,,QUEENS,Unspecified,2008-04-18T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WOODHAVEN BOULEVARD,10936798
64,INTERSECTION,DOT,Department of Transportation,BRONX,,2008-04-26T00:00:00.000,Unspecified BRONX,Street Condition,2008-04-16T00:00:00.000,,,Pothole,,N/A,,,EAST MT EDEN AVENUE,MORRIS AVENUE,,,BRONX,Unspecified,2008-04-26T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,10944477
