,address_type,agency,agency_name,borough,bridge_highway_direction,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
0,,DOT,Department of Transportation,MANHATTAN,,,2005-06-14T00:00:00.000,Unspecified MANHATTAN,Street Condition,2005-06-14T00:00:00.000,,,Unsafe Worksite,N/A,,,MULBERRY STREET,MOSCO ST,,Street,MANHATTAN,Unspecified,2005-06-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,59761
1,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,,Unspecified BROOKLYN,Street Condition,2005-12-27T00:00:00.000,,,Wear & Tear,N/A,,,WASHINGTON AVE,PARK AVE,,,BROOKLYN,Unspecified,2005-12-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,3509709
2,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-01-29T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-01-28T00:00:00.000,,,Pothole,N/A,,,BEVERLY ROAD,FLATBUSH AVENUE,,,BROOKLYN,Unspecified,2005-01-29T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3495585
3,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-01-31T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-01-30T00:00:00.000,5 STREET,NORTH PORTLAND AVENUE,Pothole,N/A, FLUSHING AVENUE,,,,,,BROOKLYN,Unspecified,2005-01-31T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,FLUSHING AVENUE,3493441
4,INTERSECTION,DOT,Department of Transportation,BRONX,,,2005-11-28T00:00:00.000,Unspecified BRONX,Street Condition,2005-11-28T00:00:00.000,,,Pothole,N/A,,,CLAREMONT PARKWAY,CLAY AVENUE,,,BRONX,Unspecified,2005-11-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3632471
5,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,,15 BROOKLYN,Street Condition,2005-11-28T00:00:00.000,EAST 16 STREET,SHEEPSHEAD BAY ROAD,Wear & Tear,N/A, SHORE PARKWAY,11235,,,,,BROOKLYN,Unspecified,2005-11-29T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,SHORE PARKWAY,3509560
6,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,,Unspecified BROOKLYN,Street Condition,2005-06-15T00:00:00.000,MAUJER STREET,SCHOLES STREET,Wear & Tear,N/A, MANHATTAN AVENUE,,,,,,BROOKLYN,Unspecified,2005-06-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,MANHATTAN AVENUE,3506422
7,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-11-23T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-11-22T00:00:00.000,,,Pothole,N/A,,,HICKS STREET,KANE STREET,,,BROOKLYN,Unspecified,2005-11-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3510506
8,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2005-03-30T00:00:00.000,08 MANHATTAN,Street Condition,2005-03-29T00:00:00.000,LEXINGTON AVENUE,PARK AVENUE,Pothole,N/A, EAST 72 STREET,10021,,,,,MANHATTAN,Unspecified,2005-03-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST 72 STREET,3534181
9,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-04-16T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-04-15T00:00:00.000,,,Pothole,N/A,,,BROADWAY,VAN BUREN STREET,,,BROOKLYN,Unspecified,2005-04-16T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3505579
10,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,,2005-11-17T00:00:00.000,Unspecified MANHATTAN,Street Condition,2005-11-04T00:00:00.000,,,Pothole,N/A,,,CENTRAL PARK WEST,65 ST TRANSVERSE,,,MANHATTAN,Unspecified,2005-11-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3542007
11,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,,Unspecified BROOKLYN,Street Condition,2005-11-29T00:00:00.000,,,Wear & Tear,N/A,,,16 AVENUE,54 STREET,,,BROOKLYN,Unspecified,2005-11-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,3509767
12,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-12-21T00:00:00.000,17 BROOKLYN,Street Condition,2005-12-20T00:00:00.000,CLARENDON ROAD,EAST 55 STREET,Pothole,N/A, KINGS HIGHWAY,11203,,,,,BROOKLYN,Unspecified,2005-12-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,KINGS HIGHWAY,3511609
13,INTERSECTION,DOT,Department of Transportation,BRONX,,,2005-04-03T00:00:00.000,Unspecified BRONX,Street Condition,2005-04-03T00:00:00.000,,,Pothole,N/A,,,HENNESSY PLACE,WEST BURNSIDE AVENUE,,,BRONX,Unspecified,2005-04-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3625140
14,BLOCKFACE,DOT,Department of Transportation,STATEN ISLAND,,,2005-04-03T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2005-03-30T00:00:00.000,MC BAINE AVENUE,MASON BOULEVARD,Pothole,N/A, ALVERSON AVENUE,,,,,,STATEN ISLAND,Unspecified,2005-04-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ALVERSON AVENUE,3618210
15,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,,07 BROOKLYN,Street Condition,2005-08-02T00:00:00.000,4 AVENUE,5 AVENUE,Wear & Tear,N/A, 28 STREET,11232,,,,,BROOKLYN,Unspecified,2005-08-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,28 STREET,3507963
16,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-02-12T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-02-11T00:00:00.000,AUTUMN AVENUE,GLENMORE AVENUE,Pothole,N/A, CONDUIT BOULEVARD,,,,,,BROOKLYN,Unspecified,2005-02-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,CONDUIT BOULEVARD,3489818
17,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-12-30T00:00:00.000,06 BROOKLYN,Street Condition,2005-12-29T00:00:00.000,4 AVENUE,5 AVENUE,Pothole,N/A, SACKETT STREET,11217,,,,,BROOKLYN,Unspecified,2005-12-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,SACKETT STREET,3509962
18,INTERSECTION,DOT,Department of Transportation,MANHATTAN,,,2005-01-15T00:00:00.000,Unspecified MANHATTAN,Street Condition,2005-01-15T00:00:00.000,,,Pothole,N/A,,,ST NICHOLAS AVENUE,WEST 162 STREET,,,MANHATTAN,Unspecified,2005-01-15T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3536916
19,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-06-03T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-06-02T00:00:00.000,BRIGHTON 3 STREET,OCEAN PARKWAY,Pothole,N/A, SHORE PARKWAY,,,,,,BROOKLYN,Unspecified,2005-06-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,SHORE PARKWAY,3503710
20,INTERSECTION,DOT,Department of Transportation,QUEENS,,,,Unspecified QUEENS,Street Condition,2005-02-02T00:00:00.000,,,Wear & Tear,N/A,,,26 AVENUE,BROOKLYN QNS EXPRESSWAY,,,QUEENS,Unspecified,2005-02-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,3569074
21,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2005-05-02T00:00:00.000,Unspecified QUEENS,Street Condition,2005-04-18T00:00:00.000,,,Pothole,N/A,,,COLLEGE POINT BOULEVARD,ROOSEVELT AVENUE,,,QUEENS,Unspecified,2005-05-02T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3569428
22,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-06-13T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-06-12T00:00:00.000,,,Pothole,N/A,,,AVENUE Z,BRIGHTON 6 STREET,,,BROOKLYN,Unspecified,2005-06-13T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3507303
23,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-06-13T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-06-12T00:00:00.000,AVENUE Y,AVENUE Z,Pothole,N/A, BRIGHTON 6 STREET,,,,,,BROOKLYN,Unspecified,2005-06-13T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,BRIGHTON 6 STREET,3507304
24,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-01-30T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-01-12T00:00:00.000,,,Pothole,N/A,,,MEEKER AVENUE,VANDERVOORT AVENUE,,,BROOKLYN,Unspecified,2005-01-30T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3495225
25,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-01-03T00:00:00.000,07 BROOKLYN,Street Condition,2005-01-02T00:00:00.000,3 AVENUE,4 AVENUE,Pothole,N/A, 18 STREET,11215,,,,,BROOKLYN,Unspecified,2005-01-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,18 STREET,3495517
26,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-03-23T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-03-22T00:00:00.000,JOHNSON AVENUE,MESEROLE STREET,Pothole,N/A, MORGAN AVENUE,,,,,,BROOKLYN,Unspecified,2005-03-23T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,MORGAN AVENUE,3496457
27,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-01-21T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-01-20T00:00:00.000,,,Pothole,N/A,,,CONDUIT BOULEVARD,FORBELL STREET,,,BROOKLYN,Unspecified,2005-01-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3493672
28,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,,Unspecified BROOKLYN,Street Condition,2005-08-02T00:00:00.000,40 STREET,41 STREET,Wear & Tear,N/A, 3 AVENUE,,,,,,BROOKLYN,Unspecified,2005-08-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,3 AVENUE,3507964
29,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,,Unspecified BROOKLYN,Street Condition,2005-05-17T00:00:00.000,,,Wear & Tear,N/A,,,3 AVENUE,56 STREET,,,BROOKLYN,Unspecified,2005-05-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Pending,,3499429
30,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-04-03T00:00:00.000,07 BROOKLYN,Street Condition,2005-04-02T00:00:00.000,2 AVENUE,3 AVENUE,Pothole,N/A, 44 STREET,11232,,,,,BROOKLYN,Unspecified,2005-04-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,44 STREET,3496671
31,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-02-27T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-02-26T00:00:00.000,HENDRICKSON PLACE,SHORE PARKWAY,Pothole,N/A, FLATBUSH AVENUE,,,,,,BROOKLYN,Unspecified,2005-02-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,FLATBUSH AVENUE,3497892
32,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-02-03T00:00:00.000,14 BROOKLYN,Street Condition,2005-02-02T00:00:00.000,EAST 21 STREET,EAST 22 STREET,Pothole,N/A, GLENWOOD ROAD,11210,,,,,BROOKLYN,Unspecified,2005-02-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,GLENWOOD ROAD,3495053
33,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-01-05T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-01-04T00:00:00.000,,,Pothole,N/A,,,BRIGHTON 6 STREET,AVENUE Z,,,BROOKLYN,Unspecified,2005-01-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3494150
34,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-03-04T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-03-03T00:00:00.000,,,Pothole,N/A,,,BROADWAY,HEWES STREET,,,BROOKLYN,Unspecified,2005-03-04T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3497903
35,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2005-03-07T00:00:00.000,Unspecified QUEENS,Street Condition,2005-03-06T00:00:00.000,,,Pothole,N/A,,,LEFFERTS BOULEVARD,ROCKAWAY BOULEVARD,,,QUEENS,Unspecified,2005-03-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3570204
36,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-03-04T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-03-03T00:00:00.000,11 AVENUE,12 AVENUE,Pothole,N/A, 40 STREET,,,,,,BROOKLYN,Unspecified,2005-03-04T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,40 STREET,3498912
37,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-03-12T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-03-07T00:00:00.000,FLATBUSH AVENUE,GOLD STREET,Pothole,N/A, JOHNSON STREET,,,,,,BROOKLYN,Unspecified,2005-03-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,JOHNSON STREET,3498953
38,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2005-06-17T00:00:00.000,07 MANHATTAN,Street Condition,2005-06-16T00:00:00.000,BROADWAY,CENTRAL PARK WEST,Pothole,N/A, WEST 64 STREET,10023,,,,,MANHATTAN,Unspecified,2005-06-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WEST 64 STREET,3543480
39,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-03-12T00:00:00.000,15 BROOKLYN,Street Condition,2005-03-11T00:00:00.000,AVENUE O,AVENUE P,Pothole,N/A, EAST 27 STREET,11229,,,,,BROOKLYN,Unspecified,2005-03-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST 27 STREET,3497092
40,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-03-08T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-03-06T00:00:00.000,,,Pothole,N/A,,,PARK AVE,N PORTLAND AVE,,,BROOKLYN,Unspecified,2005-03-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3498946
41,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-06-07T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-06-05T00:00:00.000,EAST 72 STREET,RALPH AVENUE,Pothole,N/A, AVENUE K,,,,,,BROOKLYN,Unspecified,2005-06-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,AVENUE K,3499876
42,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-01-11T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-01-10T00:00:00.000,,,Pothole,N/A,,,OCEAN PARKWAY,PROSPECT EXPRESSWAY,,,BROOKLYN,Unspecified,2005-01-11T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3495233
43,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-03-07T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-03-06T00:00:00.000,WYTHE AVENUE,BEDFORD AVENUE,Pothole,N/A, WILLIAMSBURG PLACE,,,,,,BROOKLYN,Unspecified,2005-03-07T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WILLIAMSBURG PLACE,3499193
44,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-02-27T00:00:00.000,05 BROOKLYN,Street Condition,2005-02-26T00:00:00.000,ELDERT LANE,LINCOLN AVENUE,Pothole,N/A, LINDEN BOULEVARD,11208,,,,,BROOKLYN,Unspecified,2005-02-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,LINDEN BOULEVARD,3499063
45,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-02-15T00:00:00.000,02 BROOKLYN,Street Condition,2005-02-14T00:00:00.000,JOHNSON STREET,TILLARY STREET,Pothole,N/A, ADAMS STREET,11201,,,,,BROOKLYN,Unspecified,2005-02-15T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,ADAMS STREET,3495298
46,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-02-19T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-02-18T00:00:00.000,58 STREET,59 STREET,Pothole,N/A, 3 AVENUE,,,,,,BROOKLYN,Unspecified,2005-02-19T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,3 AVENUE,3500010
47,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-02-27T00:00:00.000,18 BROOKLYN,Street Condition,2005-02-26T00:00:00.000,AVENUE U,EAST 53 STREET,Pothole,N/A, FLATBUSH AVENUE,11234,,,,,BROOKLYN,Unspecified,2005-02-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,FLATBUSH AVENUE,3499107
48,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-02-17T00:00:00.000,07 BROOKLYN,Street Condition,2005-02-16T00:00:00.000,3 AVENUE,4 AVENUE,Pothole,N/A, 16 STREET,11215,,,,,BROOKLYN,Unspecified,2005-02-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,16 STREET,3495263
49,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-02-28T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-02-27T00:00:00.000,CADMAN PLAZA EAST,FULTON STREET,Pothole,N/A, PROSPECT STREET,,,,,,BROOKLYN,Unspecified,2005-02-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,PROSPECT STREET,3496282
50,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-03-12T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-03-11T00:00:00.000,,,Pothole,N/A,,,3 AVENUE,56 STREET,,,BROOKLYN,Unspecified,2005-03-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3496314
51,INTERSECTION,DOT,Department of Transportation,QUEENS,,,2005-01-27T00:00:00.000,Unspecified QUEENS,Street Condition,2005-01-25T00:00:00.000,,,Pothole,N/A,,,BEACH 108 STREET,ROCKAWAY FREEWAY,,,QUEENS,Unspecified,2005-01-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3562654
52,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-03-22T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-03-21T00:00:00.000,,,Pothole,N/A,,,PARK AVE,CLINTON AVE,,,BROOKLYN,Unspecified,2005-03-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3498245
53,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-04-08T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-04-07T00:00:00.000,,,Pothole,N/A,,,4 AVENUE,88 STREET,,,BROOKLYN,Unspecified,2005-04-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3501056
54,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-03-21T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-03-20T00:00:00.000,PROSPECT STREET,YORK STREET,Pothole,N/A, PEARL STREET,,,,,,BROOKLYN,Unspecified,2005-03-21T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,PEARL STREET,3498228
55,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-04-08T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-04-07T00:00:00.000,CLARKSON AVENUE,EAST 56 STREET,Pothole,N/A, REMSEN AVENUE,,,,,,BROOKLYN,Unspecified,2005-04-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,REMSEN AVENUE,3501057
56,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-04-08T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-04-07T00:00:00.000,,,Pothole,N/A,,,80 STREET,NARROWS AVENUE,,,BROOKLYN,Unspecified,2005-04-08T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3501052
57,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-05-05T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-05-04T00:00:00.000,,,Pothole,N/A,,,ATLANTIC AVENUE,FURMAN STREET,,,BROOKLYN,Unspecified,2005-05-05T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3500159
58,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-04-12T00:00:00.000,07 BROOKLYN,Street Condition,2005-04-11T00:00:00.000,4 AVENUE,5 AVENUE,Pothole,N/A, 17 STREET,11215,,,,,BROOKLYN,Unspecified,2005-04-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,17 STREET,3501107
59,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-04-06T00:00:00.000,14 BROOKLYN,Street Condition,2005-03-31T00:00:00.000,FOSTER AVENUE,GLENWOOD ROAD,Pothole,N/A, EAST 17 STREET,11230,,,,,BROOKLYN,Unspecified,2005-04-06T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,EAST 17 STREET,3496342
60,ADDRESS,DOT,Department of Transportation,BROOKLYN,,,2005-01-28T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-01-27T00:00:00.000,JAY STREET,GALLATIN PLACE,Pothole,N/A,457 OLD FULTON STREET,,,,,,BROOKLYN,Unspecified,2005-01-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,OLD FULTON STREET,3494561
61,INTERSECTION,DOT,Department of Transportation,BROOKLYN,,,2005-05-17T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-05-05T00:00:00.000,,,Pothole,N/A,,,3 AVENUE,58 STREET,,,BROOKLYN,Unspecified,2005-05-17T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3500164
62,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-03-02T00:00:00.000,15 BROOKLYN,Street Condition,2005-03-01T00:00:00.000,EAST 4 STREET,OCEAN PARKWAY,Pothole,N/A, AVENUE X,11223,,,,,BROOKLYN,Unspecified,2005-03-02T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,AVENUE X,3500175
