,address_type,agency,agency_name,borough,bridge_highway_direction,city,closed_date,community_board,complaint_type,created_date,cross_street_1,cross_street_2,descriptor,facility_type,incident_address,incident_zip,intersection_street_1,intersection_street_2,landmark,location_type,park_borough,park_facility_name,resolution_action_updated_date,school_address,school_city,school_code,school_name,school_number,school_phone_number,school_region,school_state,school_zip,status,street_name,unique_key
6554,,DOT,Department of Transportation,BROOKLYN,,,2005-07-29T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-07-27T00:00:00.000,,,Street Lines Complaint,N/A,,,PEARL ST,FDR DRIVE,,Street,BROOKLYN,Unspecified,2005-07-29T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,1556783
6555,,DOT,Department of Transportation,MANHATTAN,,,2005-04-13T00:00:00.000,Unspecified MANHATTAN,Street Condition,2005-04-13T00:00:00.000,,,Plate Condition - Open,N/A,,,WEST 91 ST,WEST END AVE,,Street,MANHATTAN,Unspecified,2005-04-13T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,2137432
6556,,DOT,Department of Transportation,MANHATTAN,,,2005-07-22T00:00:00.000,Unspecified MANHATTAN,Street Condition,2005-06-29T00:00:00.000,,,Letter Verifying Traffic,N/A,,,59 STREET BRIDGE,QUEENSBORO BRIDGE,,Street,MANHATTAN,Unspecified,2005-07-22T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,2170825
6557,BLOCKFACE,DOT,Department of Transportation,STATEN ISLAND,,STATEN ISLAND,2005-10-27T00:00:00.000,01 STATEN ISLAND,Street Condition,2005-10-12T00:00:00.000,FOREST AVENUE,GOETHALS ROAD NORTH,Pothole,N/A, WESTERN AVENUE,10303,,,,,STATEN ISLAND,Unspecified,2005-10-27T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,WESTERN AVENUE,3599068
6558,INTERSECTION,DOT,Department of Transportation,STATEN ISLAND,,,2005-05-14T00:00:00.000,Unspecified STATEN ISLAND,Street Condition,2005-04-09T00:00:00.000,,,Pothole,N/A,,,SPRAGUE AVENUE,WINDING WOODS LOOP,,,STATEN ISLAND,Unspecified,2005-05-14T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,,3620977
6559,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2005-01-12T00:00:00.000,04 MANHATTAN,Street Condition,2005-01-11T00:00:00.000,WEST 40 STREET,WEST 41 STREET,Pothole,N/A, 9 AVENUE,10018,,,,,MANHATTAN,Unspecified,2005-01-12T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,9 AVENUE,3535686
6560,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,BROOKLYN,2005-04-25T00:00:00.000,08 BROOKLYN,Street Condition,2005-04-24T00:00:00.000,ATLANTIC AVENUE,PACIFIC STREET,Pothole,N/A, BROOKLYN AVENUE,11216,,,,,BROOKLYN,Unspecified,2005-04-25T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,BROOKLYN AVENUE,3500258
6561,BLOCKFACE,DOT,Department of Transportation,Unspecified,,BROOKLYN,2005-03-28T00:00:00.000,0 Unspecified,Street Condition,2005-02-26T00:00:00.000,AVENUE A,ROCKAWAY PARKWAY,Pothole,N/A, LINDEN BOULEVARD,,,,,,Unspecified,Unspecified,2005-03-28T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,LINDEN BOULEVARD,3498071
6562,BLOCKFACE,DOT,Department of Transportation,MANHATTAN,,NEW YORK,2005-03-03T00:00:00.000,09 MANHATTAN,Street Condition,2005-03-03T00:00:00.000,WEST 116 STREET,WEST 120 STREET,Pothole,N/A, BROADWAY,10027,,,,,MANHATTAN,Unspecified,2005-03-03T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,BROADWAY,3534963
6563,BLOCKFACE,DOT,Department of Transportation,BROOKLYN,,,2005-05-02T00:00:00.000,Unspecified BROOKLYN,Street Condition,2005-05-01T00:00:00.000,2 AVENUE,3 AVENUE,Pothole,N/A, 64 STREET,,,,,,BROOKLYN,Unspecified,2005-05-02T00:00:00.000,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Closed,64 STREET,3501340
